id,signo_zodiacal,lider,cri_exi,ama_car,decidido,afe_sen,extrovertido,sociable,analitico,trabajo_equipo,compulsiva,conf_lea,opt_ale,ene_cur,tran_seg,senc_pac,organizado
1,6,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1
2,7,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1
3,3,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0
4,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0
5,10,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
6,4,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
7,5,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1
8,9,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0
9,3,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1
10,3,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0
11,8,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1
12,4,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0
13,2,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0
14,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1
15,10,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1
16,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1
17,8,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0
18,12,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1
19,6,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0
20,7,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1
21,6,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0
22,11,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1
23,2,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0
24,2,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0
25,5,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0
26,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
27,12,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1
28,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
29,6,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1
30,9,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
31,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1
32,10,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0
33,4,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1
34,5,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1
35,5,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1
36,4,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0
37,9,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1
38,4,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1
39,5,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1
40,8,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
41,4,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0
42,2,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1
43,10,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
44,3,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1
45,12,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1
46,11,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1
47,11,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1
48,11,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
